"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","wst_oper","wst_oper_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HU","Hungary","2014","2014","2415994"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HU","Hungary","2016","2016","2580731"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HU","Hungary","2018","2018","3478197"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HU","Hungary","2020","2020","4320114"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","HU","Hungary","2022","2022","3793996"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","MT","Malta","2010","2010","756584"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","MT","Malta","2012","2012","507563"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","MT","Malta","2014","2014","788308"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","MT","Malta","2016","2016","1030298"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","MT","Malta","2018","2018","1759966"
